fold,train_start,train_end,test_start,test_end,train_rows,test_rows,base_lt25,tier1,tier2,tier3,full,train_score,train_cagr,train_mdd,train_sharpe,train_annual_turnover,oos_cagr_segment,oos_mdd_segment,oos_sharpe_segment,oos_avg_stock_weight,oos_annual_turnover_segment
28,2020-01-06 00:00:00,2023-01-04 00:00:00,2023-01-05 00:00:00,2023-04-05 00:00:00,756,63,0.78,0.78,0.9,0.92,0.98,-0.6685932446216047,0.040567476090167975,-0.3040309128037557,0.3395320118959548,8.386666666666668,0.71801605716085,-0.06275921034745924,3.029194909265421,0.7803174603174605,8.639999999999999
29,2020-04-06 00:00:00,2023-04-05 00:00:00,2023-04-06 00:00:00,2023-07-07 00:00:00,756,63,0.76,0.78,0.9,0.92,0.98,-0.505387316968679,0.08819350020201422,-0.3038970095677893,0.6338876931915136,8.600000000000001,0.5124317572962909,-0.02147755929447359,3.512741967208141,0.7044444444444448,3.6800000000000015
30,2020-07-07 00:00:00,2023-07-07 00:00:00,2023-07-10 00:00:00,2023-10-05 00:00:00,756,63,0.78,0.78,0.9,0.92,1.0,-0.5624478200039063,0.06161303409461727,-0.30319954590759035,0.48481240567227396,8.173333333333336,-0.04925605003666955,-0.07434301927796327,-0.31452293830396777,0.7342857142857143,5.119999999999999
31,2020-10-05 00:00:00,2023-10-05 00:00:00,2023-10-06 00:00:00,2024-01-05 00:00:00,756,63,0.78,0.78,0.9,0.92,0.98,-0.5832415156427183,0.050609169703291546,-0.3040309128037557,0.4119147471002389,7.893333333333333,0.4680031352306868,-0.07298945273581425,2.7162469597196606,0.8923809523809526,2.719999999999999
32,2021-01-05 00:00:00,2024-01-05 00:00:00,2024-01-08 00:00:00,2024-04-08 00:00:00,756,63,0.78,0.78,0.9,0.92,0.98,-0.48973388906940574,0.07120697961602396,-0.3040309128037546,0.5359637078390534,7.693333333333333,0.2607265078402805,-0.02166588025949545,2.026895604496485,0.7561904761904763,1.5999999999999996
33,2021-04-07 00:00:00,2024-04-08 00:00:00,2024-04-09 00:00:00,2024-07-09 00:00:00,756,63,0.82,0.78,0.86,0.92,0.98,-0.42103027969492446,0.07657125199791093,-0.3051572285492524,0.5716379873104129,7.106666666666667,0.5220150986121339,-0.05430701464815102,3.39767587281367,0.8507936507936508,2.88
34,2021-07-07 00:00:00,2024-07-09 00:00:00,2024-07-10 00:00:00,2024-10-07 00:00:00,756,63,0.78,0.78,0.86,0.92,0.98,-0.3643995763494436,0.08766284869047292,-0.30402836285027446,0.6410492444406328,6.9333333333333345,-0.10696033457695431,-0.11070170234651511,-0.5595664276677251,0.8003174603174602,14.399999999999999
35,2021-10-05 00:00:00,2024-10-07 00:00:00,2024-10-08 00:00:00,2025-01-07 00:00:00,756,63,0.78,0.8,0.86,0.92,0.98,-0.4551327527718866,0.07847006589464689,-0.3064047040724629,0.5631178870931477,7.493333333333333,0.09034193135164803,-0.04431812113817757,0.7002000677152078,0.7685714285714288,1.4400000000000004
36,2022-01-04 00:00:00,2025-01-07 00:00:00,2025-01-08 00:00:00,2025-04-09 00:00:00,756,63,0.78,0.8,0.86,0.92,0.98,-0.4845330337920659,0.06059983260363766,-0.28195309324380735,0.45582702544652515,7.199999999999999,-0.20254859509503653,-0.11659866065508318,-1.2664592325965487,0.5904761904761902,6.880000000000002
37,2022-04-05 00:00:00,2025-04-09 00:00:00,2025-04-10 00:00:00,2025-07-11 00:00:00,756,63,0.78,0.78,0.84,0.92,0.98,-0.3115058318649511,0.08216433355309682,-0.19374493185116037,0.5830174433548932,6.68,0.4574450070985232,-0.022638161539867863,4.246930022985056,0.5901587301587303,10.559999999999999
38,2022-07-07 00:00:00,2025-07-11 00:00:00,2025-07-14 00:00:00,2025-10-09 00:00:00,756,63,0.76,0.78,0.84,0.92,0.98,-0.05082427858298211,0.15988013813559454,-0.186932098130134,1.0584606321246737,7.106666666666667,0.3184908187233353,-0.027173101137764832,2.6823483050139068,0.7800000000000002,0.0
39,2022-10-05 00:00:00,2025-10-09 00:00:00,2025-10-10 00:00:00,2026-01-09 00:00:00,756,63,0.76,0.78,0.84,0.98,0.98,0.27026398426232306,0.20254995584082658,-0.11561609219538849,1.3798439892850423,5.960000000000001,0.11641054754028968,-0.05906099709902002,0.9915216686125135,0.7117460317460318,4.960000000000002
40,2023-01-05 00:00:00,2026-01-09 00:00:00,2026-01-12 00:00:00,2026-04-13 00:00:00,756,63,0.76,0.78,0.84,0.98,0.98,0.462237922193575,0.2278215892665656,-0.1156160921953886,1.574644041016988,4.813333333333333,0.05767401517975146,-0.09895777026780384,0.4293310541984006,0.771111111111111,16.16
41,2023-04-06 00:00:00,2026-04-13 00:00:00,2026-04-14 00:00:00,2026-05-07 00:00:00,756,18,0.76,0.78,0.84,0.92,0.98,0.24244632099889596,0.1793403781727143,-0.11386026533038718,1.3111558979120155,5.44,2.8008049210244375,-0.009867119860007545,9.58921989218071,0.8944444444444445,6.159999999999999
