selection_date,validation_start,validation_end,candidate_id,up_trigger,strong_up_trigger,max_up_bonus,full_stock_up_trigger,full_stock_high_vol_max,no_trade_band,score,sharpe,calmar,mdd,annual_turnover,custom_up_ratio,changed_params,mdd_penalty,turnover_penalty,custom_up_penalty,change_penalty
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,45,0.55,0.7,0.06,0.9,0.15,0.16,2.1475773026297476,1.0478212093661723,1.669606805132699,-0.06809325206226513,1.824116885532307,0.44047619047619047,3,0.0,0.14592935084258457,0.0,0.09
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,46,0.55,0.7,0.06,0.9,0.2,0.12,2.1012712517307897,1.062161452903699,1.6815412226901278,-0.06875468138463148,1.951539741562645,0.44047619047619047,5,0.0,0.1561231793250116,0.0,0.15
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,47,0.55,0.7,0.06,0.9,0.2,0.16,2.1175773026297473,1.0478212093661723,1.669606805132699,-0.06809325206226513,1.824116885532307,0.44047619047619047,4,0.0,0.14592935084258457,0.0,0.12
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,48,0.55,0.75,0.03,0.85,0.15,0.12,2.1908677957954645,1.0510858081690209,1.655699042726756,-0.06842751858027862,1.934715581937019,0.44047619047619047,1,0.0,0.15477724655496153,0.0,0.03
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,49,0.55,0.75,0.03,0.85,0.15,0.16,2.3200841786244983,1.072424554392398,1.6816266271335554,-0.06776585688619718,1.220520968434302,0.44047619047619047,0,0.0,0.09764167747474416,0.0,0.0
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,50,0.55,0.75,0.03,0.85,0.2,0.12,2.1608677957954643,1.0510858081690209,1.655699042726756,-0.06842751858027862,1.934715581937019,0.44047619047619047,2,0.0,0.15477724655496153,0.0,0.06
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,51,0.55,0.75,0.03,0.85,0.2,0.16,2.2900841786244985,1.072424554392398,1.6816266271335554,-0.06776585688619718,1.220520968434302,0.44047619047619047,1,0.0,0.09764167747474416,0.0,0.03
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,52,0.55,0.75,0.03,0.9,0.15,0.12,2.1608677957954643,1.0510858081690209,1.655699042726756,-0.06842751858027862,1.934715581937019,0.44047619047619047,2,0.0,0.15477724655496153,0.0,0.06
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,53,0.55,0.75,0.03,0.9,0.15,0.16,2.2900841786244985,1.072424554392398,1.6816266271335554,-0.06776585688619718,1.220520968434302,0.44047619047619047,1,0.0,0.09764167747474416,0.0,0.03
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,54,0.55,0.75,0.03,0.9,0.2,0.12,2.1308677957954645,1.0510858081690209,1.655699042726756,-0.06842751858027862,1.934715581937019,0.44047619047619047,3,0.0,0.15477724655496153,0.0,0.09
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,55,0.55,0.75,0.03,0.9,0.2,0.16,2.2600841786244983,1.072424554392398,1.6816266271335554,-0.06776585688619718,1.220520968434302,0.44047619047619047,2,0.0,0.09764167747474416,0.0,0.06
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,56,0.55,0.75,0.06,0.85,0.15,0.12,2.178226031240944,1.0579432959292767,1.6676788186424991,-0.06862381626289016,1.92325399502915,0.44047619047619047,2,0.0,0.153860319602332,0.0,0.06
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,57,0.55,0.75,0.06,0.85,0.15,0.16,2.2328882240099395,1.0591483973610385,1.6558734144378267,-0.06796229399183829,1.5119863112670076,0.44047619047619047,1,0.0,0.1209589049013606,0.0,0.03
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,58,0.55,0.75,0.06,0.85,0.2,0.12,2.1482260312409442,1.0579432959292767,1.6676788186424991,-0.06862381626289016,1.92325399502915,0.44047619047619047,3,0.0,0.153860319602332,0.0,0.09
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,59,0.55,0.75,0.06,0.85,0.2,0.16,2.202888224009939,1.0591483973610385,1.6558734144378267,-0.06796229399183829,1.5119863112670076,0.44047619047619047,2,0.0,0.1209589049013606,0.0,0.06
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,60,0.55,0.75,0.06,0.9,0.15,0.12,2.1482260312409442,1.0579432959292767,1.6676788186424991,-0.06862381626289016,1.92325399502915,0.44047619047619047,3,0.0,0.153860319602332,0.0,0.09
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,61,0.55,0.75,0.06,0.9,0.15,0.16,2.202888224009939,1.0591483973610385,1.6558734144378267,-0.06796229399183829,1.5119863112670076,0.44047619047619047,2,0.0,0.1209589049013606,0.0,0.06
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,62,0.55,0.75,0.06,0.9,0.2,0.12,2.118226031240944,1.0579432959292767,1.6676788186424991,-0.06862381626289016,1.92325399502915,0.44047619047619047,4,0.0,0.153860319602332,0.0,0.12
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,63,0.55,0.75,0.06,0.9,0.2,0.16,2.1728882240099394,1.0591483973610385,1.6558734144378267,-0.06796229399183829,1.5119863112670076,0.44047619047619047,3,0.0,0.1209589049013606,0.0,0.09
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,0,0.5,0.7,0.03,0.85,0.15,0.12,2.4054257439385913,1.3107366820300896,1.7939426588052174,-0.0797150857022727,2.3093847427673326,0.5595238095238095,3,0.0,0.18475077942138662,0.06571428571428571,0.09
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,1,0.5,0.7,0.03,0.85,0.15,0.16,2.471824470805655,1.320159788331004,1.7769584551767468,-0.07906144115224889,1.8023474494057554,0.5595238095238095,2,0.0,0.14418779595246042,0.06571428571428571,0.06
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,2,0.5,0.7,0.03,0.85,0.2,0.12,2.375425743938591,1.3107366820300896,1.7939426588052174,-0.0797150857022727,2.3093847427673326,0.5595238095238095,4,0.0,0.18475077942138662,0.06571428571428571,0.12
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,3,0.5,0.7,0.03,0.85,0.2,0.16,2.4418244708056553,1.320159788331004,1.7769584551767468,-0.07906144115224889,1.8023474494057554,0.5595238095238095,3,0.0,0.14418779595246042,0.06571428571428571,0.09
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,4,0.5,0.7,0.03,0.9,0.15,0.12,2.375425743938591,1.3107366820300896,1.7939426588052174,-0.0797150857022727,2.3093847427673326,0.5595238095238095,4,0.0,0.18475077942138662,0.06571428571428571,0.12
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,5,0.5,0.7,0.03,0.9,0.15,0.16,2.4418244708056553,1.320159788331004,1.7769584551767468,-0.07906144115224889,1.8023474494057554,0.5595238095238095,3,0.0,0.14418779595246042,0.06571428571428571,0.09
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,6,0.5,0.7,0.03,0.9,0.2,0.12,2.3454257439385913,1.3107366820300896,1.7939426588052174,-0.0797150857022727,2.3093847427673326,0.5595238095238095,5,0.0,0.18475077942138662,0.06571428571428571,0.15
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,7,0.5,0.7,0.03,0.9,0.2,0.16,2.411824470805655,1.320159788331004,1.7769584551767468,-0.07906144115224889,1.8023474494057554,0.5595238095238095,4,0.0,0.14418779595246042,0.06571428571428571,0.12
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,8,0.5,0.7,0.06,0.85,0.15,0.12,2.3535539727063832,1.3143977124609993,1.7862664530278662,-0.08025274016317896,2.5517827057827915,0.5595238095238095,4,0.0,0.20414261646262333,0.06571428571428571,0.12
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,9,0.5,0.7,0.06,0.85,0.15,0.16,2.444787900387128,1.320044879888464,1.8157680237946798,-0.07959947748935758,2.15196391028493,0.5595238095238095,3,0.0,0.1721571128227944,0.06571428571428571,0.09
