asset_class,allocation_regime,mid_trend_state,ph_rank_bin_756,count,start_date,end_date,avg_stock_weight,avg_base_signal_stock_weight,avg_signal_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank_504,avg_ph_rank_756,avg_ph_z_756,avg_up_strength_score,avg_down_strength_score,offensive_activation_rate,tier3_rate,ph_context_available_rate_756,strategy_ann_return,strategy_mdd,strategy_gross_ann_return,bh_ann_return,bh_mdd,bh_gap_ann_return
high_vol_growth,CUSTOM,NEUTRAL,70_85,13,2017-05-05 00:00:00,2024-09-30 00:00:00,0.813846153846154,0.503076923076923,0.8000000000000002,0.695638763675323,0.7112844262845767,0.8534798534798534,0.8134920634920634,1.0181112392037868,0.614780148691113,0.20524416252222544,1.0,0.0,1.0,-0.5956142821583695,-0.06682677744411558,-0.5956142821583695,-0.6933799851599398,-0.08383707792397788,0.09776570300157028
high_vol_growth,CUSTOM,NEUTRAL,85_95,9,2016-01-26 00:00:00,2024-08-29 00:00:00,0.8444444444444444,0.5377777777777778,0.8044444444444445,0.6942477302418815,0.6847892032386911,0.9206349206349205,0.9132863021751911,1.6092004034123708,0.4971220308906419,0.28467789025582246,1.0,0.0,1.0,-0.9857725214486148,-0.16410424130325496,-0.9857725214486148,-0.993313543160491,-0.19031670572114678,0.007541021711876206
high_vol_growth,CUSTOM,NEUTRAL,95_100,4,2016-02-02 00:00:00,2017-03-21 00:00:00,0.81,0.495,0.8,0.7660351015627385,0.7170047754533015,0.9722222222222222,0.9814814814814814,2.1595761235119615,0.4353690796853068,0.24825348674379194,1.0,0.0,1.0,-0.9733652658877788,-0.0564736326041998,-0.9733652658877788,-0.9888689303084205,-0.06923806989785841,0.01550366442064166
high_vol_growth,CUSTOM,NEUTRAL,raw_fallback,21,2013-01-30 00:00:00,2014-10-30 00:00:00,0.8609523809523809,0.8504761904761905,0.8571428571428571,0.18160012309395132,0.1735197426754367,,,,0.2651048431388394,0.4796605363000743,0.6666666666666666,0.0,0.0,0.9578406310197303,-0.032440496491786264,0.9578406310197303,1.1589407470870885,-0.03856238528473743,-0.20110011606735823
high_vol_growth,EXTREME_RISK,BEAR,85_95,3,2022-06-02 00:00:00,2022-06-17 00:00:00,0.3000000000000001,0.3,0.3000000000000001,0.8251588046550751,0.8704470491052265,0.916005291005291,0.9422398589065256,1.8286810692255735,0.5065256666005865,0.09576109680049198,0.0,0.0,1.0,0.5439941727538051,0.0,0.5439941727538051,1.0823487988848588,-0.012435187337156539,-0.5383546261310537
high_vol_growth,EXTREME_RISK,BEAR,95_100,30,2022-04-26 00:00:00,2022-06-16 00:00:00,0.30000000000000016,0.30000000000000004,0.30000000000000016,0.90067526191473,0.8950530331629489,0.9751322751322752,0.9833333333333333,2.3336259613245263,0.5111996884641649,0.08680309205338098,0.0,0.0,1.0,0.2753617167112097,-0.06242437600675632,0.2804109167530109,0.5372823136822311,-0.20556708939573376,-0.26192059697102144
high_vol_growth,EXTREME_RISK,NEUTRAL,85_95,2,2017-03-16 00:00:00,2017-03-17 00:00:00,0.3000000000000001,0.42,0.61,0.7439680844545364,0.8276900724370183,0.8234126984126984,0.8822751322751323,1.262213839573075,0.39727398842131034,0.09977930585791836,0.5,0.0,1.0,0.3481125235270017,-0.008132963419968942,0.3481125235270017,-0.17320564359650448,-0.03234395709513893,0.5213181671235062
high_vol_growth,EXTREME_RISK,NEUTRAL,95_100,1,2017-03-15 00:00:00,2017-03-15 00:00:00,0.3000000000000001,0.3,0.3000000000000001,0.8852301120758057,0.8694306658637185,0.998015873015873,0.9986772486772487,1.8891547102151816,0.3562350452304083,0.1023460357529902,0.0,0.0,1.0,5.590595838234145,0.0,5.998289385774661,226.52625599495664,0.0,-220.9356601567225
high_vol_growth,HIGH_VOL,BEAR,50_70,3,2022-10-17 00:00:00,2022-10-20 00:00:00,0.52,0.5466666666666667,0.5466666666666667,0.6171276281277339,0.6610626380006531,0.5952380952380953,0.6750440917107584,0.47439364011448176,0.330153354089402,0.06765440360139313,0.0,0.0,1.0,1.203186930491666,0.0,1.203186930491666,10.821431772535535,0.0,-9.618244842043868
high_vol_growth,HIGH_VOL,BEAR,70_85,7,2020-03-19 00:00:00,2022-10-21 00:00:00,0.52,0.5171428571428571,0.5171428571428571,0.70247189615454,0.7030824880115579,0.7471655328798186,0.7877928949357521,0.8892114006429672,0.29033867025557625,0.1238762691559224,0.0,0.0,1.0,6.842535039669601,-0.04061671980833281,6.842535039669601,27.07922538928812,-0.07469872172240144,-20.23669034961852
