Date,ticker,asset_class,mid_trend_state,ph_bin,context_scope,context_rows,context_mean_return,context_down_freq,context_tail10,context_score,context_adjust
2018-07-12,QQQ,broad_index,BULL,35_50,asset_class_trend_phbin,340,0.00016642391859127012,0.45588235294117646,,0.03487652698736696,0.0027901221589893568
2018-07-12,SOXX,sector_etf,BULL,65_75,asset_class_trend_phbin,109,-0.0003315018397529532,0.4954128440366973,,-0.004745034979758969,-0.00037960279838071754
2018-07-12,SPY,broad_index,BULL,35_50,asset_class_trend_phbin,341,0.000158915383287696,0.4574780058651026,,0.03357936509333287,0.0026863492074666296
2018-07-13,AAPL,mega_cap,BULL,00_35,asset_class_trend_phbin,424,0.0009803747322895842,0.4740566037735849,,0.041689370933440606,0.0033351496746752488
2018-07-13,NVDA,high_vol_growth,BULL,00_35,asset_class_trend_phbin,420,0.0006248538427273616,0.48095238095238096,,0.028329825558790003,0.0022663860447032004
2018-07-13,QQQ,broad_index,BULL,35_50,asset_class_trend_phbin,342,0.00015583680884053667,0.4590643274853801,,0.0323950541724068,0.002591604333792544
2018-07-13,SOXX,sector_etf,NEUTRAL,65_75,asset_class,1392,0.001007614602006143,0.42887931034482757,,0.07396723320676812,0.00591737865654145
2018-07-13,SPY,broad_index,BULL,35_50,asset_class_trend_phbin,343,0.0001731182690120214,0.4577259475218659,,0.03374667519098238,0.0026997340152785905
2018-07-16,AAPL,mega_cap,BULL,00_35,asset_class_trend_phbin,425,0.00098472355354554,0.47294117647058825,,0.04257454175568118,0.003405963340454494
2018-07-16,NVDA,high_vol_growth,BULL,35_50,asset_class_trend_phbin,97,0.0007425837434419276,0.422680412371134,,0.07194572118281245,0.005755657694624996
2018-07-16,QQQ,broad_index,BULL,35_50,asset_class_trend_phbin,344,0.00018437389085136264,0.4563953488372093,,0.034948229194386206,0.0027958583355508966
2018-07-16,SOXX,sector_etf,NEUTRAL,65_75,asset_class,1393,0.001017204546171555,0.42857142857142855,,0.07441290910811735,0.005953032728649388
2018-07-16,SPY,broad_index,BULL,35_50,asset_class_trend_phbin,345,0.00017837222137855057,0.4579710144927536,,0.03370122316815767,0.002696097853452614
2018-07-17,AAPL,mega_cap,BULL,00_35,asset_class_trend_phbin,426,0.0009695375748642965,0.47417840375586856,,0.041344019167635124,0.0033075215334108098
2018-07-17,NVDA,high_vol_growth,BULL,00_35,asset_class_trend_phbin,421,0.00067590870332129,0.47980997624703087,,0.030354825506789355,0.0024283860405431485
2018-07-17,QQQ,broad_index,BULL,50_65,asset_class_trend_phbin,301,0.00027510438667557006,0.46179401993355484,,0.03334669132672529,0.0026677353061380234
2018-07-17,SOXX,sector_etf,BULL,50_65,asset_class_trend_phbin,156,0.00021038407813852368,0.4551282051282051,,0.03645947428558098,0.0029167579428464787
2018-07-17,SPY,broad_index,BULL,35_50,asset_class_trend_phbin,346,0.00018393642010715156,0.45664739884393063,,0.03476129489182019,0.0027809035913456156
